,fecha,estacion,año,mes,festivo,dia_semana,clima,temperatura,humedad,viento,casual,casual_box,laboral_no,laboral_sí
0,2018-01-01,0.0,0,0,0,1.0,1,-0.48473282442748095,0.8611778846153845,-0.21212121212121218,331,16.39782015107092,1.0,0.0
1,2018-02-01,0.0,0,0,1,0.0,1,-0.42366412213740456,0.33233173076923056,0.6969696969696969,131,11.472436698466694,0.0,1.0
2,2018-03-01,0.0,0,2,1,0.0,2,-0.9427480916030535,-0.9128605769230769,0.6818181818181821,120,11.076034853721117,0.0,1.0
3,2018-04-01,1.5,0,2,1,0.5,2,-0.9351145038167941,-0.17728365384615388,-0.21212121212121218,108,10.613969754365213,1.0,0.0
4,2018-05-01,1.5,0,3,1,0.5,2,-0.851145038167939,-0.9128605769230769,0.06060606060606066,82,9.475537124796562,0.0,1.0
5,2018-06-01,1.5,0,3,1,0.0,2,-0.9198473282442748,-0.5234375000000002,-0.9242424242424242,88,9.758173437422366,0.0,1.0
6,2018-07-01,2.0,0,3,1,0.5,1,-0.9427480916030535,-0.614783653846154,-0.12121212121212106,148,12.042276083494743,1.0,0.0
7,2018-08-01,2.0,0,3,1,0.0,1,-1.0419847328244276,-0.43689903846153844,0.8787878787878787,68,8.755721974567901,0.0,1.0
8,2018-09-01,2.0,0,2,1,0.0,2,-1.1259541984732826,-0.9272836538461541,1.8484848484848488,54,7.925269345882742,1.0,0.0
9,2018-10-01,1.0,0,2,1,1.0,2,-1.087786259541985,-0.691706730769231,0.43939393939393945,41,7.008370000202964,0.0,1.0
10,2018-11-01,1.0,0,1,1,0.0,1,-1.034351145038168,0.28425480769230743,-0.5909090909090909,43,7.161347981641865,0.0,1.0
11,2018-12-01,1.0,0,0,1,0.0,2,-1.019083969465649,-0.12920673076923078,1.2575757575757576,25,5.546984704734687,1.0,0.0
12,2018-01-13,0.0,0,0,1,0.0,2,-1.0419847328244276,-0.7542067307692308,1.2272727272727273,38,6.7689696416534595,1.0,0.0
13,2018-01-14,0.0,0,0,1,0.5,2,-1.0572519083969467,-0.427283653846154,-0.5454545454545454,54,7.925269345882742,1.0,0.0
14,2018-01-15,0.0,0,0,0,1.0,1,-0.8282442748091604,-0.614783653846154,-0.2272727272727273,222,14.099671681576467,1.0,0.0
15,2018-01-16,0.0,0,0,1,0.5,2,-0.83587786259542,-0.6868990384615387,0.07575757575757576,251,14.775794586930813,0.0,1.0
16,2018-01-17,0.0,0,0,1,0.0,1,-1.0114503816793894,-0.427283653846154,0.13636363636363644,117,10.963610724399118,0.0,1.0
17,2018-01-18,0.0,0,0,1,0.0,1,-0.8816793893129772,1.1304086538461542,-0.34848484848484834,9,3.157336502299259,0.0,1.0
18,2018-01-19,0.0,0,0,1,0.0,1,-0.6450381679389313,0.5534855769230771,0.28787878787878796,78,9.27911373862353,0.0,1.0
19,2018-01-20,0.0,0,0,1,0.0,1,-0.7442748091603054,-0.427283653846154,0.15151515151515152,83,9.523609126904327,1.0,0.0
20,2018-01-21,0.0,0,0,1,0.5,2,-1.0038167938931297,-0.8167067307692307,1.7575757575757576,75,9.127200042226876,1.0,0.0
21,2018-01-22,0.0,0,0,1,1.0,2,-1.3778625954198476,-1.0907451923076925,-0.09090909090909086,93,9.983741675926243,0.0,1.0
22,2018-01-23,0.0,0,0,1,0.5,2,-1.255725190839695,-0.9128605769230769,0.6666666666666667,150,12.106300542521547,0.0,1.0
23,2018-01-24,0.0,0,0,1,0.0,2,-1.255725190839695,-0.6484375,-0.2272727272727273,86,9.665476322044512,0.0,1.0
24,2018-01-25,0.0,0,0,1,0.0,1,-0.8587786259541986,-0.04747596153846141,-0.5151515151515152,186,13.169792352153566,0.0,1.0
25,2018-01-26,0.0,0,0,1,0.0,0,-0.8816793893129772,1.1304086538461542,1.1515151515151516,34,6.428627270494731,0.0,1.0
26,2018-01-27,0.0,0,0,1,0.0,2,-0.9503816793893131,0.29387019230769224,-0.6818181818181819,15,4.257082757297649,1.0,0.0
27,2018-01-28,0.0,0,0,1,0.5,1,-0.9274809160305344,0.7986778846153846,-0.5757575757575756,38,6.7689696416534595,1.0,0.0
28,2018-01-29,0.0,0,0,1,1.0,2,-0.9427480916030535,0.12079326923076938,-0.3636363636363637,123,11.18654214701248,0.0,1.0
29,2018-01-30,0.0,0,0,1,0.5,2,-0.8816793893129772,0.45733173076923095,-1.0757575757575757,140,11.78005804240976,0.0,1.0
30,2018-01-31,0.0,0,0,1,0.0,1,-0.9961832061068703,-0.10997596153846162,0.06060606060606066,42,7.085485343182041,0.0,1.0
31,2018-01-02,0.0,0,0,1,0.5,1,-0.9580152671755726,0.9765625000000001,-1.2878787878787878,47,7.453204291142461,0.0,1.0
32,2018-02-02,0.0,0,0,1,0.0,1,-0.7442748091603054,0.7121394230769231,0.8484848484848485,72,8.971047417268762,0.0,1.0
33,2018-03-02,0.0,0,2,1,0.0,2,-0.9732824427480917,-0.9080528846153849,0.9848484848484852,61,8.356921871079736,0.0,1.0
34,2018-04-02,1.5,0,2,1,1.0,1,-0.8969465648854963,-0.20132211538461542,-0.5303030303030303,88,9.758173437422366,0.0,1.0
35,2018-05-02,1.5,0,3,1,0.0,1,-0.8282442748091604,1.452524038461539,-0.19696969696969682,100,10.285930098515184,0.0,1.0
36,2018-06-02,1.5,0,3,1,0.0,2,-0.66793893129771,-0.2830528846153848,-0.3939393939393939,354,16.813269083628796,1.0,0.0
37,2018-07-02,2.0,0,3,1,1.0,2,-0.7137404580152673,0.5342548076923076,-1.378787878787879,120,11.076034853721117,0.0,1.0
38,2018-08-02,2.0,0,3,1,0.0,2,-0.8664122137404582,-0.427283653846154,1.8484848484848488,64,8.531499219198887,0.0,1.0
39,2018-09-02,2.0,0,2,1,0.5,1,-1.1412213740458017,-0.6340144230769231,0.09090909090909086,53,7.860514959708835,1.0,0.0
40,2018-10-02,1.0,0,2,1,0.5,2,-1.1106870229007635,-0.9128605769230769,0.42424242424242437,47,7.453204291142461,0.0,1.0
41,2018-11-02,1.0,0,1,1,0.0,2,-0.9656488549618321,-0.5811298076923077,-0.7272727272727273,149,12.074362198101104,0.0,1.0
42,2018-12-02,1.0,0,0,1,0.5,2,-0.8664122137404582,-0.3984375000000001,0.2272727272727273,288,15.56446083223579,1.0,0.0
43,2018-02-13,0.0,0,0,1,0.5,2,-0.5687022900763359,-0.8167067307692307,0.8181818181818182,397,17.542663929866496,0.0,1.0
44,2018-02-14,0.0,0,0,1,0.0,2,-0.2633587786259542,-1.2061298076923077,2.409090909090909,208,13.75133613553182,0.0,1.0
45,2018-02-15,0.0,0,0,1,0.0,2,-0.7290076335877863,-1.504206730769231,1.1212121212121213,140,11.78005804240976,0.0,1.0
46,2018-02-16,0.0,0,0,1,0.0,2,-0.5687022900763359,-0.9801682692307695,0.7272727272727272,218,14.001727063387264,0.0,1.0
47,2018-02-17,0.0,0,0,1,0.0,2,-0.1946564885496184,-0.5859375000000001,0.5000000000000001,259,14.952774983724149,1.0,0.0
48,2018-02-18,0.0,0,0,1,0.5,2,0.0725190839694656,-0.5282451923076923,0.8484848484848485,579,20.136700271347188,1.0,0.0
49,2018-02-19,0.0,0,0,0,1.0,2,-0.3091603053435116,-0.0006009615384613336,3.3181818181818183,532,19.527875813336856,1.0,0.0
50,2018-02-20,0.0,0,0,1,0.5,2,-0.66793893129771,-1.0522836538461542,0.43939393939393945,639,20.866382160464436,0.0,1.0
51,2018-02-21,0.0,0,0,1,0.0,1,-0.6145038167938931,-0.10516826923076925,1.2878787878787883,195,13.413129686804043,0.0,1.0
52,2018-02-22,0.0,0,0,1,0.0,2,-0.9885496183206108,-0.2349759615384617,0.15151515151515152,74,9.075634422036053,0.0,1.0
53,2018-02-23,0.0,0,0,1,0.0,2,-0.8664122137404582,-0.9801682692307695,-0.8787878787878788,139,11.746562099967337,0.0,1.0
54,2018-02-24,0.0,0,0,1,0.0,1,-0.6374045801526719,0.33713942307692324,0.7121212121212123,100,10.285930098515184,1.0,0.0
55,2018-02-25,0.0,0,0,1,0.5,1,-0.42366412213740456,0.4092548076923079,1.6818181818181819,120,11.076034853721117,1.0,0.0
56,2018-02-26,0.0,0,0,1,1.0,2,-0.6755725190839695,-0.427283653846154,0.06060606060606066,424,17.973243623206308,0.0,1.0
57,2018-02-27,0.0,0,0,1,0.5,2,-0.48473282442748095,0.25540865384615385,-0.5606060606060606,694,21.494924611628708,0.0,1.0
58,2018-02-28,0.0,0,0,1,0.0,1,-0.28625954198473286,1.197716346153846,1.106060606060606,81,9.427060202838744,0.0,1.0
59,2018-01-03,0.0,0,0,1,0.0,2,-0.7290076335877863,-0.44170673076923084,0.3636363636363637,137,11.679069715724536,0.0,1.0
