,fecha,estacion,año,mes,festivo,dia_semana,clima,temperatura,humedad,viento,registrado,registrado_box,laboral_no,laboral_sí
0,2018-01-01,0.0,0,0.0,0,0.0,1,-0.48473282442748095,0.8611778846153845,-0.21212121212121218,654,267.555884884105,1.0,0.0
1,2018-02-01,0.0,0,1.0,1,1.5,1,-0.42366412213740456,0.33233173076923056,0.6969696969696969,670,273.03513549002855,0.0,1.0
2,2018-03-01,0.0,0,1.5,1,1.5,2,-0.9427480916030535,-0.9128605769230769,0.6818181818181821,1229,453.922955604971,0.0,1.0
3,2018-04-01,1.0,0,1.5,1,0.5,2,-0.9351145038167941,-0.17728365384615388,-0.21212121212121218,1454,522.5149244899186,1.0,0.0
4,2018-05-01,1.0,0,2.0,1,0.0,2,-0.851145038167939,-0.9128605769230769,0.06060606060606066,1518,541.6949468848785,0.0,1.0
5,2018-06-01,1.0,0,3.0,1,1.5,2,-0.9198473282442748,-0.5234375000000002,-0.9242424242424242,1518,541.6949468848785,0.0,1.0
6,2018-07-01,1.5,0,2.0,1,0.5,1,-0.9427480916030535,-0.614783653846154,-0.12121212121212106,1362,494.6967457725717,1.0,0.0
7,2018-08-01,1.5,0,2.5,1,1.0,1,-1.0419847328244276,-0.43689903846153844,0.8787878787878787,891,346.7361037278762,0.0,1.0
8,2018-09-01,1.5,0,2.5,1,1.5,2,-1.1259541984732826,-0.9272836538461541,1.8484848484848488,768,306.1460943761287,1.0,0.0
9,2018-10-01,1.0,0,2.0,1,0.0,2,-1.087786259541985,-0.691706730769231,0.43939393939393945,1280,469.6400763894595,0.0,1.0
10,2018-11-01,1.0,0,1.5,1,1.5,1,-1.034351145038168,0.28425480769230743,-0.5909090909090909,1220,451.13828345939766,0.0,1.0
11,2018-12-01,1.0,0,1.0,1,1.5,2,-1.019083969465649,-0.12920673076923078,1.2575757575757576,1137,425.29365441398716,1.0,0.0
12,2018-01-13,0.0,0,0.0,1,1.5,2,-1.0419847328244276,-0.7542067307692308,1.2272727272727273,1368,496.5202202317562,1.0,0.0
13,2018-01-14,0.0,0,0.0,1,0.5,2,-1.0572519083969467,-0.427283653846154,-0.5454545454545454,1367,496.21639960338837,1.0,0.0
14,2018-01-15,0.0,0,0.0,0,0.0,1,-0.8282442748091604,-0.614783653846154,-0.2272727272727273,1026,390.23549858284713,1.0,0.0
15,2018-01-16,0.0,0,0.0,1,0.0,2,-0.83587786259542,-0.6868990384615387,0.07575757575757576,953,366.8395084402412,0.0,1.0
16,2018-01-17,0.0,0,0.0,1,1.0,1,-1.0114503816793894,-0.427283653846154,0.13636363636363644,883,344.1255933448396,0.0,1.0
17,2018-01-18,0.0,0,0.0,1,1.5,1,-0.8816793893129772,1.1304086538461542,-0.34848484848484834,674,274.4015579647264,0.0,1.0
18,2018-01-19,0.0,0,0.0,1,1.5,1,-0.6450381679389313,0.5534855769230771,0.28787878787878796,1572,557.7743839557065,0.0,1.0
19,2018-01-20,0.0,0,0.0,1,1.5,1,-0.7442748091603054,-0.427283653846154,0.15151515151515152,1844,637.4533070797764,1.0,0.0
20,2018-01-21,0.0,0,0.0,1,0.5,2,-1.0038167938931297,-0.8167067307692307,1.7575757575757576,1468,526.7222561660833,1.0,0.0
21,2018-01-22,0.0,0,0.0,1,0.0,2,-1.3778625954198476,-1.0907451923076925,-0.09090909090909086,888,345.75761735429813,0.0,1.0
22,2018-01-23,0.0,0,0.0,1,0.0,2,-1.255725190839695,-0.9128605769230769,0.6666666666666667,836,328.70858721143446,0.0,1.0
23,2018-01-24,0.0,0,0.0,1,1.0,2,-1.255725190839695,-0.6484375,-0.2272727272727273,1330,484.9489891796616,0.0,1.0
24,2018-01-25,0.0,0,0.0,1,1.5,1,-0.8587786259541986,-0.04747596153846141,-0.5151515151515152,1799,624.4129078975941,0.0,1.0
25,2018-01-26,0.0,0,0.0,1,1.5,0,-0.8816793893129772,1.1304086538461542,1.1515151515151516,472,203.48749412087776,0.0,1.0
26,2018-01-27,0.0,0,0.0,1,1.5,2,-0.9503816793893131,0.29387019230769224,-0.6818181818181819,416,183.00119773417615,1.0,0.0
27,2018-01-28,0.0,0,0.0,1,0.5,1,-0.9274809160305344,0.7986778846153846,-0.5757575757575756,1129,422.7864698111936,1.0,0.0
28,2018-01-29,0.0,0,0.0,1,0.0,2,-0.9427480916030535,0.12079326923076938,-0.3636363636363637,975,373.9205127041261,0.0,1.0
29,2018-01-30,0.0,0,0.0,1,0.0,2,-0.8816793893129772,0.45733173076923095,-1.0757575757575757,956,367.80667500009804,0.0,1.0
30,2018-01-31,0.0,0,0.0,1,1.0,1,-0.9961832061068703,-0.10997596153846162,0.06060606060606066,1459,524.0183069392909,0.0,1.0
31,2018-01-02,0.0,0,0.0,1,0.0,1,-0.9580152671755726,0.9765625000000001,-1.2878787878787878,1313,479.75479159605743,0.0,1.0
32,2018-02-02,0.0,0,1.0,1,1.5,1,-0.7442748091603054,0.7121394230769231,0.8484848484848485,1454,522.5149244899186,0.0,1.0
33,2018-03-02,0.0,0,1.5,1,1.5,2,-0.9732824427480917,-0.9080528846153849,0.9848484848484852,1489,533.0208736219265,0.0,1.0
